,Survey_Date,State_FIPS,County_FIPS,Region_Code,Division_Code,County_Name,1_unit_Bldgs,1_unit_Units,1_unit_Value,2_units_Bldgs,2_units_Units,2_units_Value,3-4_units_Bldgs,3-4_units_Units,3-4_units_Value,5+_units_Bldgs,5+_units_Units,5+_units_Value,1_unit_rep_Bldgs,1_unit_rep_Units,1_unit_rep_Value,2_units_rep_Bldgs,2_units_rep_Units,2_units_rep_Value,3-4_units_rep_Bldgs,3-4_units_rep_Units,3-4_units_rep_Value,5+units_rep_Bldgs,5+units_rep_Units,5+units_rep_Value
0,201612,1,1,3,6,Autauga County                ,169,169,45256130,0,0,0,0,0,0,0,0,0,169,169,45256130,0,0,0,0,0,0,0,0,0
1,201612,1,7,3,6,Bibb County                   ,12,12,2541940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,201612,1,9,3,6,Blount County                 ,14,14,2815172,0,0,0,0,0,0,0,0,0,14,14,2815172,0,0,0,0,0,0,0,0,0
3,201612,1,21,3,6,Chilton County                ,24,24,3398050,0,0,0,0,0,0,0,0,0,24,24,3398050,0,0,0,0,0,0,0,0,0
4,201612,1,73,3,6,Jefferson County              ,1500,1500,375728598,0,0,0,0,0,0,14,663,68963432,1318,1318,331219782,0,0,0,0,0,0,8,353,39249990
5,201612,1,83,3,6,Limestone County              ,117,117,22346833,0,0,0,0,0,0,0,0,0,117,117,22346833,0,0,0,0,0,0,0,0,0
6,201612,1,89,3,6,Madison County                ,2203,2203,314665094,0,0,0,0,0,0,28,672,47116980,2198,2198,314033519,0,0,0,0,0,0,28,672,47116980
7,201612,1,113,3,6,Russell County                ,116,116,19352748,1,2,80304,0,0,0,1,12,700000,116,116,19352748,1,2,80304,0,0,0,1,12,700000
8,201612,1,115,3,6,St. Clair County              ,152,152,24012203,0,0,0,0,0,0,0,0,0,137,137,21303486,0,0,0,0,0,0,0,0,0
9,201612,1,117,3,6,Shelby County                 ,991,991,221682899,0,0,0,0,0,0,9,99,1683000,481,481,97336051,0,0,0,0,0,0,0,0,0
10,201612,1,127,3,6,Walker County                 ,8,8,2260000,0,0,0,0,0,0,0,0,0,8,8,2260000,0,0,0,0,0,0,0,0,0
11,201612,2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,201612,2,16,4,9,Aleutians West Census Area    ,4,4,392472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,201612,2,20,4,9,Anchorage Borough             ,719,719,225284620,0,0,0,12,37,6422957,18,174,27508629,0,0,0,0,0,0,0,0,0,0,0,0
14,201612,2,20,4,9,Anchorage Municipality        ,719,719,225284620,0,0,0,12,37,6422957,18,174,27508629,0,0,0,0,0,0,0,0,0,0,0,0
15,201612,2,50,4,9,Bethel Census Area            ,6,6,1800000,1,2,450000,0,0,0,0,0,0,6,6,1800000,1,2,450000,0,0,0,0,0,0
16,201612,2,60,4,9,Bristol Bay Borough           ,2,2,450000,0,0,0,0,0,0,0,0,0,2,2,450000,0,0,0,0,0,0,0,0,0
17,201612,2,70,4,9,Dillingham Census Area        ,3,3,870887,0,0,0,0,0,0,0,0,0,1,1,287713,0,0,0,0,0,0,0,0,0
18,201612,2,90,4,9,Fairbanks North Star Borough  ,11,11,2930822,0,0,0,0,0,0,0,0,0,11,11,2930822,0,0,0,0,0,0,0,0,0
19,201612,2,100,4,9,Haines Borough                ,8,8,2228561,0,0,0,0,0,0,0,0,0,1,1,287713,0,0,0,0,0,0,0,0,0
20,201612,2,105,4,9,Hoonah-Angoon Census Area     ,3,3,500000,0,0,0,0,0,0,0,0,0,3,3,500000,0,0,0,0,0,0,0,0,0
21,201612,2,110,4,9,Juneau Borough                ,50,50,12237748,5,10,1745112,3,10,424992,10,83,11202481,50,50,12237748,5,10,1745112,3,10,424992,10,83,11202481
22,201612,2,110,4,9,Juneau City and Borough       ,50,50,12237748,5,10,1745112,3,10,424992,10,83,11202481,50,50,12237748,5,10,1745112,3,10,424992,10,83,11202481
23,201612,2,122,4,9,Kenai Peninsula Borough       ,85,85,19389887,8,16,1770930,3,10,1134000,1,5,650000,80,80,18386047,8,16,1770930,3,10,1134000,1,5,650000
24,201612,2,130,4,9,Ketchikan Gateway Borough     ,32,32,9245562,3,6,846480,0,0,0,0,0,0,32,32,9245562,3,6,846480,0,0,0,0,0,0
25,201612,2,150,4,9,Kodiak Island Borough         ,12,12,3057651,1,2,219247,1,4,410728,0,0,0,12,12,3057651,1,2,219247,1,4,410728,0,0,0
26,201612,2,158,4,9,Kusilvak Census Area          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,201612,2,170,4,9,Matanuska-Susitna Borough     ,32,32,7579001,13,26,3524016,4,16,1894504,1,42,3978099,32,32,7579001,13,26,3524016,4,16,1894504,1,42,3978099
28,201612,2,180,4,9,Nome Census Area              ,7,7,947236,1,2,172044,0,0,0,0,0,0,7,7,947236,1,2,172044,0,0,0,0,0,0
29,201612,2,185,4,9,North Slope Borough           ,9,9,2455481,1,2,358195,0,0,0,0,0,0,9,9,2455481,1,2,358195,0,0,0,0,0,0
30,201612,2,188,4,9,Northwest Arctic Borough      ,6,6,2505609,0,0,0,0,0,0,0,0,0,5,5,2150427,0,0,0,0,0,0,0,0,0
31,201612,2,195,4,9,Petersburg Borough            ,6,6,2093500,0,0,0,0,0,0,0,0,0,6,6,2093500,0,0,0,0,0,0,0,0,0
32,201612,2,195,4,9,Petersburg Census Area        ,6,6,2093500,0,0,0,0,0,0,0,0,0,6,6,2093500,0,0,0,0,0,0,0,0,0
33,201612,2,198,4,9,Prince of Wales-Hyder Census A,3,3,807982,1,2,358195,1,3,439137,0,0,0,3,3,807982,1,2,358195,1,3,439137,0,0,0
34,201612,2,220,4,9,Sitka Borough                 ,19,19,6106819,1,2,574745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,201612,2,220,4,9,Sitka City and Borough        ,19,19,6106819,1,2,574745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,201612,2,230,4,9,Skagway Municipality          ,11,11,2299000,1,2,232443,0,0,0,0,0,0,10,10,2019000,0,0,0,0,0,0,0,0,0
37,201612,2,261,4,9,Valdez-Cordova Census Area    ,12,12,2336596,0,0,0,0,0,0,0,0,0,12,12,2336596,0,0,0,0,0,0,0,0,0
38,201612,2,275,4,9,Wrangell City and Borough     ,6,6,530000,0,0,0,0,0,0,0,0,0,6,6,530000,0,0,0,0,0,0,0,0,0
39,201612,2,282,4,9,Yakutat Borough               ,1,1,190600,0,0,0,0,0,0,0,0,0,1,1,190600,0,0,0,0,0,0,0,0,0
40,201612,2,282,4,9,Yakutat City and Borough      ,1,1,190600,0,0,0,0,0,0,0,0,0,1,1,190600,0,0,0,0,0,0,0,0,0
41,201612,2,290,4,9,Yukon-Koyukuk Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,201612,4,13,4,8,Maricopa County               ,16032,16032,4481885469,75,168,21248761,42,169,29467782,264,9444,1204430143,15840,15840,4421249107,75,168,21248761,42,169,29467782,261,9334,1190810783
43,201612,4,19,4,8,Pima County                   ,2164,2164,620375612,13,26,3510562,0,0,0,20,395,55874598,1424,1424,407577264,0,0,0,0,0,0,0,0,0
44,201612,4,21,4,8,Pinal County                  ,2545,2545,503259667,92,184,11545348,0,0,0,0,0,0,2530,2530,498325766,92,184,11545348,0,0,0,0,0,0
45,201612,5,13,3,7,Calhoun County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,201612,5,35,3,7,Crittenden County             ,68,68,11762319,0,0,0,0,0,0,0,0,0,67,67,11542432,0,0,0,0,0,0,0,0,0
47,201612,5,45,3,7,Faulkner County               ,259,259,55320106,9,18,1376000,1,3,75000,1,40,1500000,253,253,53786104,9,18,1376000,1,3,75000,1,40,1500000
48,201612,5,53,3,7,Grant County                  ,11,11,1320771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,201612,5,85,3,7,Lonoke County                 ,317,317,32368148,0,0,0,0,0,0,0,0,0,164,164,19354725,0,0,0,0,0,0,0,0,0
50,201612,5,87,3,7,Madison County                ,1,1,190000,0,0,0,0,0,0,1,12,650000,1,1,190000,0,0,0,0,0,0,1,12,650000
51,201612,5,91,3,7,Miller County                 ,42,42,6262484,0,0,0,0,0,0,0,0,0,4,4,636000,0,0,0,0,0,0,0,0,0
52,201612,5,105,3,7,Perry County                  ,2,2,68000,0,0,0,0,0,0,0,0,0,2,2,68000,0,0,0,0,0,0,0,0,0
53,201612,5,119,3,7,Pulaski County                ,731,731,166762538,13,26,4735500,0,0,0,49,557,40362028,731,731,166762538,13,26,4735500,0,0,0,49,557,40362028
54,201612,5,129,3,7,Searcy County                 ,1,1,50000,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,0,0,0,0,0,0,0
55,201612,5,143,3,7,Washington County             ,1140,1140,257678228,6,12,2370000,0,0,0,19,360,30477874,1120,1120,255150969,6,12,2370000,0,0,0,19,360,30477874
56,201612,6,1,4,9,Alameda County                ,2288,2288,789299865,11,22,5704040,21,75,18522001,109,3365,562447705,2215,2215,760908923,11,22,5704040,21,75,18522001,86,2761,472186583
57,201612,6,13,4,9,Contra Costa County           ,1946,1946,616040202,0,0,0,9,27,2678634,29,1054,155004285,1836,1836,591600573,0,0,0,9,27,2678634,19,949,139958750
58,201612,6,17,4,9,El Dorado County              ,770,770,295256239,0,0,0,0,0,0,0,0,0,760,760,292329393,0,0,0,0,0,0,0,0,0
59,201612,6,19,4,9,Fresno County                 ,2330,2330,632154508,15,30,4195184,12,45,7422332,34,281,22126915,2198,2198,604008422,15,30,4195184,12,45,7422332,33,276,21458649
60,201612,6,37,4,9,Los Angeles County            ,4936,4936,2081027574,384,768,143989345,72,264,59598677,371,14525,2600400771,4729,4729,1990437498,383,766,143653345,70,258,58788677,330,13926,2505873665
61,201612,6,41,4,9,Marin County                  ,97,97,62209626,1,2,1979034,0,0,0,0,0,0,84,84,52109463,1,2,1979034,0,0,0,0,0,0
62,201612,6,59,4,9,Orange County                 ,4371,4371,1367714032,76,152,36911728,101,343,72371414,162,6649,964908334,4110,4110,1245336926,58,116,24911512,100,340,71310016,157,6463,940736122
63,201612,6,61,4,9,Placer County                 ,2107,2107,703926027,1,2,368483,0,0,0,13,310,41967830,2091,2091,698695563,1,2,368483,0,0,0,13,310,41967830
64,201612,6,63,4,9,Plumas County                 ,47,47,7995653,0,0,0,0,0,0,0,0,0,47,47,7995653,0,0,0,0,0,0,0,0,0
65,201612,6,67,4,9,Sacramento County             ,2686,2686,717062862,53,106,15861653,1,4,432643,16,559,75691878,2674,2674,714238662,53,106,15861653,1,4,432643,16,559,75691878
66,201612,6,69,4,9,San Benito County             ,424,424,107804596,1,2,250037,0,0,0,1,5,1398501,351,351,83874613,0,0,0,0,0,0,1,5,1398501
67,201612,6,71,4,9,San Bernardino County         ,2794,2794,668836308,36,72,8561313,10,36,2283566,72,972,116712908,2667,2667,641485604,36,72,8561313,10,36,2283566,69,957,116076374
68,201612,6,73,4,9,San Diego County              ,2341,2341,785267310,70,140,24906471,96,305,51430364,246,7883,1346638786,2287,2287,764141790,70,140,24906471,96,305,51430364,237,7821,1334141768
69,201612,6,75,4,9,San Francisco County          ,123,123,33581373,19,38,17034908,8,26,13729285,41,3900,1080121307,123,123,33581373,19,38,17034908,8,26,13729285,41,3900,1080121307
70,201612,6,81,4,9,San Mateo County              ,473,473,336339165,8,16,4635200,6,19,4918086,53,1518,298384908,341,341,270488852,7,14,3935200,6,19,4918086,33,1169,241257995
71,201612,6,85,4,9,Santa Clara County            ,1633,1633,658941554,7,14,3565343,31,110,24109441,106,3939,486724250,1625,1625,652931835,7,14,3565343,31,110,24109441,106,3939,486724250
72,201612,6,91,4,9,Sierra County                 ,8,8,1648025,0,0,0,0,0,0,0,0,0,8,8,1648025,0,0,0,0,0,0,0,0,0
73,201612,6,113,4,9,Yolo County                   ,585,585,165276566,7,14,2245316,1,4,400000,6,70,10350000,584,584,164828147,7,14,2245316,1,4,400000,6,70,10350000
74,201612,8,1,4,8,Adams County                  ,1873,1873,514927680,1,2,280000,8,28,3024374,18,143,13644027,1800,1800,494248192,1,2,280000,7,25,2445239,18,143,13644027
75,201612,8,5,4,8,Arapahoe County               ,2023,2023,525197181,4,8,1214270,0,0,0,60,2636,336156203,2013,2013,513108185,4,8,1214270,0,0,0,60,2636,336156203
76,201612,8,14,4,8,Broomfield County             ,523,523,174784374,5,10,2005953,2,8,1075814,1,5,673523,523,523,174784374,5,10,2005953,2,8,1075814,1,5,673523
77,201612,8,15,4,8,Chaffee County                ,115,115,30462152,4,8,1295848,1,3,549700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,201612,8,19,4,8,Clear Creek County            ,12,12,3945644,0,0,0,0,0,0,0,0,0,12,12,3945644,0,0,0,0,0,0,0,0,0
79,201612,8,31,4,8,Denver County                 ,1965,1965,492087791,147,294,59990140,1,4,757100,74,5555,735415057,1965,1965,492087791,147,294,59990140,1,4,757100,74,5555,735415057
80,201612,8,35,4,8,Douglas County                ,2014,2014,623361928,0,0,0,3,9,1556706,66,1309,130239646,1946,1946,596716491,0,0,0,0,0,0,66,1309,130239646
81,201612,8,39,4,8,Elbert County                 ,120,120,29688059,0,0,0,0,0,0,0,0,0,119,119,29527629,0,0,0,0,0,0,0,0,0
82,201612,8,41,4,8,El Paso County                ,3526,3526,1433173996,4,8,832439,0,0,0,48,1500,223336916,3526,3526,1433173996,4,8,832439,0,0,0,48,1500,223336916
83,201612,8,47,4,8,Gilpin County                 ,32,32,13400000,0,0,0,0,0,0,0,0,0,30,30,12525000,0,0,0,0,0,0,0,0,0
84,201612,8,69,4,8,Larimer County                ,1614,1614,448785370,18,36,5391651,16,61,9729460,115,1813,201700208,1613,1613,448565124,18,36,5391651,16,61,9729460,115,1813,201700208
85,201612,8,77,4,8,Mesa County                   ,498,498,123202594,5,10,1224677,0,0,0,2,91,9352294,498,498,123202594,5,10,1224677,0,0,0,2,91,9352294
86,201612,8,93,4,8,Park County                   ,137,137,20265790,0,0,0,0,0,0,0,0,0,136,136,20060444,0,0,0,0,0,0,0,0,0
87,201612,8,101,4,8,Pueblo County                 ,265,265,45433035,2,4,504224,0,0,0,2,13,1837193,230,230,39312428,0,0,0,0,0,0,0,0,0
88,201612,8,119,4,8,Teller County                 ,83,83,26200049,1,2,220000,0,0,0,2,48,5156336,83,83,26200049,0,0,0,0,0,0,2,48,5156336
89,201612,9,1,1,1,Fairfield County              ,714,714,431558866,24,48,7547218,7,22,2667035,23,1133,186443524,636,636,360743867,23,46,6987218,7,22,2667035,21,1121,185725667
90,201612,9,3,1,1,Hartford County               ,524,524,97645520,6,12,1383000,6,23,2649922,42,873,90650622,503,503,93264366,6,12,1383000,6,23,2649922,33,827,88194649
91,201612,9,7,1,1,Middlesex County              ,162,162,41011261,4,8,1349100,2,6,700000,9,62,6951254,134,134,35007768,4,8,1349100,2,6,700000,5,42,5093400
92,201612,9,13,1,1,Tolland County                ,155,155,31269278,5,10,762000,1,4,180000,23,215,22219804,111,111,21648324,5,10,762000,1,4,180000,13,165,16083304
93,201612,10,1,3,5,Kent County                   ,1124,1124,169325304,2,4,382546,1,4,435500,9,144,13709614,1115,1115,167563644,2,4,382546,1,4,435500,9,144,13709614
94,201612,10,3,3,5,New Castle County             ,1159,1159,103557421,3,6,428736,0,0,0,26,529,40432290,1046,1046,94400793,3,6,428736,0,0,0,10,416,37271078
95,201612,10,5,3,5,Sussex County                 ,2399,2399,345811207,89,178,19074927,22,79,10679907,18,142,14792641,2399,2399,345811207,89,178,19074927,22,79,10679907,18,142,14792641
96,201612,11,1,3,5,Washington  DC                ,336,336,76260048,13,26,2808141,2,8,986998,35,4320,430463226,336,336,76260048,13,26,2808141,2,8,986998,35,4320,430463226
97,201612,12,3,3,5,Baker County                  ,68,68,11903238,1,2,125000,0,0,0,0,0,0,68,68,11903238,1,2,125000,0,0,0,0,0,0
98,201612,12,19,3,5,Clay County                   ,1043,1043,213117319,0,0,0,0,0,0,6,144,10264000,1030,1030,210444254,0,0,0,0,0,0,6,144,10264000
99,201612,12,31,3,5,Duval County                  ,2908,2908,683146666,50,100,10728693,2,7,1336579,73,2736,274433514,2824,2824,657503233,50,100,10728693,2,7,1336579,73,2736,274433514
